age_group,sex,year_2014,year_2016,year_2018,year_2020,year_2022,year_2024
16 and over,Total,4.6,4.2,4.2,4.1,4.1,3.9
16 to 17,Total,0.7,0.6,0.6,0.7,0.7,0.7
18 to 19,Total,0.8,0.8,0.8,0.8,0.7,0.9
20 to 24,Total,1.3,1.3,1.2,1.3,1.2,1.4
25 and over,Total,5.5,5.1,5.0,4.9,4.9,4.8
25 to 34,Total,3.0,2.8,2.8,2.8,2.8,2.7
35 to 44,Total,5.2,4.9,4.9,4.9,4.7,4.6
45 to 54,Total,7.9,7.9,7.6,7.5,6.9,7.0
55 to 64,Total,10.4,10.1,10.1,9.9,9.8,9.6
65 and over,Total,10.3,10.3,10.2,10.3,9.9,9.8
16 and over,Men,4.7,4.3,4.3,4.3,4.3,4.2
25 to 34,Men,3.1,2.9,2.9,2.9,2.9,2.8
35 to 44,Men,5.4,5.0,5.0,5.1,5.0,4.9
45 to 54,Men,8.2,8.4,8.1,8.2,7.5,7.5
55 to 64,Men,10.7,10.2,10.2,10.0,10.0,10.0
65 and over,Men,10.0,10.2,10.2,10.3,9.7,10.1
16 and over,Women,4.5,4.0,4.0,3.9,3.8,3.6
25 to 34,Women,2.9,2.6,2.7,2.7,2.7,2.5
35 to 44,Women,5.1,4.8,4.7,4.6,4.5,4.3
45 to 54,Women,7.6,7.5,7.1,6.8,6.3,6.3
55 to 64,Women,10.2,10.0,10.1,9.8,9.5,8.5
65 and over,Women,10.5,10.4,10.1,10.4,10.0,9.3
