education,sex,total,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
Total,All,4.8,2.7,4.6,7.0,9.6,9.8
Less than high school diploma,All,4.7,2.3,3.4,5.4,9.5,9.6
High school graduate no college,All,4.7,2.7,4.6,5.6,9.6,9.9
Some college no degree,All,4.5,2.4,4.0,7.0,7.7,9.2
Associate degree,All,5.2,2.9,4.8,7.2,10.1,9.7
College graduates (all),All,4.9,2.8,4.9,7.9,9.7,9.9
Bachelor's degree only,All,4.8,2.8,5.0,7.3,9.4,9.8
Master's degree,All,5.2,2.9,4.8,9.2,9.9,8.8
Doctoral or professional degree,All,4.8,1.9,4.3,8.0,13.6,13.5
Total,Men,5.1,2.8,4.9,7.5,10.0,10.1
College graduates (all),Men,5.2,2.9,5.2,8.1,10.3,11.8
Bachelor's degree only,Men,5.1,3.0,5.5,7.8,10.0,10.8
Master's degree,Men,5.3,2.8,4.8,9.2,10.1,9.4
Doctoral or professional degree,Men,5.4,1.8,4.1,9.8,15.5,18.0
Total,Women,4.6,2.5,4.3,6.3,8.5,9.3
College graduates (all),Women,4.7,2.6,4.6,7.6,8.7,8.7
Bachelor's degree only,Women,4.4,2.6,4.5,6.6,8.2,8.6
Master's degree,Women,5.2,3.0,4.7,9.2,9.5,8.3
Doctoral or professional degree,Women,4.3,2.0,4.5,7.1,9.8,9.9
