sex,age_group,pct_0_11m,pct_12_23m,pct_24_59m,pct_60m_plus
Total,15-24,35.5,23.7,29.0,7.8
Total,25+,7.2,6.0,14.3,69.0
Total,25-49,9.0,7.6,17.9,62.1
Total,50-64,4.0,3.4,8.6,80.3
Total,50-74,4.3,3.4,8.6,79.9
Total,65+,6.8,4.7,7.4,76.2
Men,15-24,31.6,24.1,31.7,8.8
Men,25+,6.0,5.1,12.9,72.3
Men,25-49,7.4,6.4,16.1,66.6
Men,50-64,3.4,2.8,7.7,82.3
Men,65+,5.4,7.5,7.5,78.0
Women,15-24,40.7,23.0,25.5,6.4
Women,25+,8.6,7.0,15.8,65.3
Women,25-49,11.0,9.1,20.1,56.7
Women,50-64,4.7,4.0,9.6,78.2
Women,65+,8.6,7.3,9.4,73.9
